2026-02-07 12:37:37 status unpacked sysvinit-utils:amd64 3.14-4
2026-02-07 12:37:37 install tar:amd64 <none> 1.35+dfsg-3.1
2026-02-07 12:37:37 status half-installed tar:amd64 1.35+dfsg-3.1
2026-02-07 12:37:37 status unpacked tar:amd64 1.35+dfsg-3.1
2026-02-07 12:37:37 install tzdata:all <none> 2025b-4+deb13u1
2026-02-07 12:37:37 status half-installed tzdata:all 2025b-4+deb13u1
2026-02-07 12:37:37 status unpacked tzdata:all 2025b-4+deb13u1
2026-02-07 12:37:37 install usr-is-merged:all <none> 39+nmu2
2026-02-07 12:37:37 status half-installed usr-is-merged:all 39+nmu2
2026-02-07 12:37:37 status unpacked usr-is-merged:all 39+nmu2
2026-02-07 12:37:37 install util-linux:amd64 <none> 2.41-5
2026-02-07 12:37:37 status half-installed util-linux:amd64 2.41-5
2026-02-07 12:37:37 status unpacked util-linux:amd64 2.41-5
2026-02-07 12:37:37 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2026-02-07 12:37:37 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-02-07 12:37:37 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-02-07 12:37:37 startup packages configure
2026-02-07 12:37:37 configure gcc-14-base:amd64 14.2.0-19 <none>
2026-02-07 12:37:37 status unpacked gcc-14-base:amd64 14.2.0-19
2026-02-07 12:37:37 status half-configured gcc-14-base:amd64 14.2.0-19
2026-02-07 12:37:37 status installed gcc-14-base:amd64 14.2.0-19
2026-02-07 12:37:37 configure login.defs:all 1:4.17.4-2 <none>
2026-02-07 12:37:37 status unpacked login.defs:all 1:4.17.4-2
2026-02-07 12:37:37 status half-configured login.defs:all 1:4.17.4-2
2026-02-07 12:37:37 status installed login.defs:all 1:4.17.4-2
2026-02-07 12:37:37 configure debian-archive-keyring:all 2025.1 <none>
2026-02-07 12:37:37 status unpacked debian-archive-keyring:all 2025.1
2026-02-07 12:37:37 status half-configured debian-archive-keyring:all 2025.1
2026-02-07 12:37:37 status installed debian-archive-keyring:all 2025.1
2026-02-07 12:37:37 configure usr-is-merged:all 39+nmu2 <none>
2026-02-07 12:37:37 status unpacked usr-is-merged:all 39+nmu2
2026-02-07 12:37:37 status half-configured usr-is-merged:all 39+nmu2
2026-02-07 12:37:37 status installed usr-is-merged:all 39+nmu2
2026-02-07 12:37:37 configure libaudit-common:all 1:4.0.2-2 <none>
2026-02-07 12:37:37 status unpacked libaudit-common:all 1:4.0.2-2
2026-02-07 12:37:37 status half-configured libaudit-common:all 1:4.0.2-2
2026-02-07 12:37:37 status installed libaudit-common:all 1:4.0.2-2
2026-02-07 12:37:37 configure libsemanage-common:all 3.8.1-1 <none>
2026-02-07 12:37:37 status unpacked libsemanage-common:all 3.8.1-1
2026-02-07 12:37:37 status half-configured libsemanage-common:all 3.8.1-1
2026-02-07 12:37:37 status installed libsemanage-common:all 3.8.1-1
2026-02-07 12:37:37 configure debconf:all 1.5.91 <none>
2026-02-07 12:37:37 status unpacked debconf:all 1.5.91
2026-02-07 12:37:37 status half-configured debconf:all 1.5.91
2026-02-07 12:37:37 status installed debconf:all 1.5.91
2026-02-07 12:37:37 configure tzdata:all 2025b-4+deb13u1 <none>
2026-02-07 12:37:37 status unpacked tzdata:all 2025b-4+deb13u1
2026-02-07 12:37:37 status half-configured tzdata:all 2025b-4+deb13u1
2026-02-07 12:37:37 status installed tzdata:all 2025b-4+deb13u1
2026-02-07 12:37:37 configure ncurses-base:all 6.5+20250216-2 <none>
2026-02-07 12:37:37 status unpacked ncurses-base:all 6.5+20250216-2
2026-02-07 12:37:37 status half-configured ncurses-base:all 6.5+20250216-2
2026-02-07 12:37:37 status installed ncurses-base:all 6.5+20250216-2
2026-02-07 12:37:37 configure init-system-helpers:all 1.69~deb13u1 <none>
2026-02-07 12:37:37 status unpacked init-system-helpers:all 1.69~deb13u1
2026-02-07 12:37:37 status half-configured init-system-helpers:all 1.69~deb13u1
2026-02-07 12:37:37 status installed init-system-helpers:all 1.69~deb13u1
2026-02-07 12:37:37 configure libgcc-s1:amd64 14.2.0-19 <none>
2026-02-07 12:37:37 status unpacked libgcc-s1:amd64 14.2.0-19
2026-02-07 12:37:37 status half-configured libgcc-s1:amd64 14.2.0-19
2026-02-07 12:37:37 status installed libgcc-s1:amd64 14.2.0-19
2026-02-07 12:37:37 configure libc6:amd64 2.41-12+deb13u1 <none>
2026-02-07 12:37:37 status unpacked libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:37 status half-configured libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:37 status installed libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:37 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2026-02-07 12:37:37 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-02-07 12:37:37 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-02-07 12:37:37 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-02-07 12:37:38 configure libmd0:amd64 1.1.0-2+b1 <none>
2026-02-07 12:37:38 status unpacked libmd0:amd64 1.1.0-2+b1
2026-02-07 12:37:38 status half-configured libmd0:amd64 1.1.0-2+b1
2026-02-07 12:37:38 status installed libmd0:amd64 1.1.0-2+b1
2026-02-07 12:37:38 configure libxxhash0:amd64 0.8.3-2 <none>
2026-02-07 12:37:38 status unpacked libxxhash0:amd64 0.8.3-2
2026-02-07 12:37:38 status half-configured libxxhash0:amd64 0.8.3-2
2026-02-07 12:37:38 status installed libxxhash0:amd64 0.8.3-2
2026-02-07 12:37:38 configure libattr1:amd64 1:2.5.2-3 <none>
2026-02-07 12:37:38 status unpacked libattr1:amd64 1:2.5.2-3
2026-02-07 12:37:38 status half-configured libattr1:amd64 1:2.5.2-3
2026-02-07 12:37:38 status installed libattr1:amd64 1:2.5.2-3
2026-02-07 12:37:38 configure sysvinit-utils:amd64 3.14-4 <none>
2026-02-07 12:37:38 status unpacked sysvinit-utils:amd64 3.14-4
2026-02-07 12:37:38 status half-configured sysvinit-utils:amd64 3.14-4
2026-02-07 12:37:38 status installed sysvinit-utils:amd64 3.14-4
2026-02-07 12:37:38 configure debianutils:amd64 5.23.2 <none>
2026-02-07 12:37:38 status unpacked debianutils:amd64 5.23.2
2026-02-07 12:37:38 status half-configured debianutils:amd64 5.23.2
2026-02-07 12:37:38 status installed debianutils:amd64 5.23.2
2026-02-07 12:37:38 configure mawk:amd64 1.3.4.20250131-1 <none>
2026-02-07 12:37:38 status unpacked mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:38 status half-configured mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:38 status installed mawk:amd64 1.3.4.20250131-1
2026-02-07 12:37:38 configure libdebconfclient0:amd64 0.280 <none>
2026-02-07 12:37:38 status unpacked libdebconfclient0:amd64 0.280
2026-02-07 12:37:38 status half-configured libdebconfclient0:amd64 0.280
2026-02-07 12:37:38 status installed libdebconfclient0:amd64 0.280
2026-02-07 12:37:38 configure base-files:amd64 13.8+deb13u3 <none>
